Entity,Code,Year,Other,Flaring,Cement, Gas,Oil , Coal
Thailand,THA,2020,0,0,15091308,76122555,111538791,55013129
Timor,TLS,2020,0,0,0,0,525704,0
Togo,TGO,2020,0,0,868412,95094,1228065,0
Tonga,TON,2020,0,0,0,0,143718,0
Trinidad and Tobago,TTO,2020,0,0,251994,31135507,4121912,0
Tunisia,TUN,2020,0,274800,3125275,13056006,11670622,0
Turkey,TUR,2020,6403768,182841,35226775,88945504,105908494,156126669
Turkmenistan,TKM,2020,0,0,1450127,53863154,20024428,0
Turks and Caicos Islands,TCA,2020,0,0,0,0,202546,0
Tuvalu,TUV,2020,0,0,0,0,7564,0
Uganda,UGA,2020,0,0,372447,0,4519756,0
Ukraine,UKR,2020,2697166,2355091,4078520,62768838,37449927,104559331
United Arab Emirates,ARE,2020,0,1124848,8731532,115024786,15576670,9810317
United Kingdom,GBR,2020,3308091,4504403,4448499,156825264,137846176,22646478
United States,USA,2020,23290879,84509725,40794578,1654988292,2020537707,888649393
Upper-middle-income countries,,2020,207436353,143611549,1040908677,2216205067,3421046230,8866714109
Uruguay,URY,2020,0,0,320186,93415,5424027,2433
Uzbekistan,UZB,2020,0,0,3529832,87111753,10791874,11350886
Vanuatu,VUT,2020,0,0,0,0,181538,0
Venezuela,VEN,2020,0,29011552,2760221,24732010,28056123,49572
Vietnam,VNM,2020,0,0,53038255,16735377,58444638,126084899
Wallis and Futuna,WLF,2020,0,0,0,0,26474,0
World,OWID_WRL,2020,297746026,435033550,1626370966,7399509390,11072500907,13976098260
Yemen,YEM,2020,0,0,691537,214731,8595687,266358
Zambia,ZMB,2020,0,0,1065993,0,3088554,2418391
Zimbabwe,ZWE,2020,0,0,697487,0,3576390,6257465
